"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4988","Login with invalid credentials","","Sat Aug 16 22:05:16 IST 2025","passed","Sat Aug 16 22:05:21 IST 2025","","Login","",""
"","12617","Login with valid credentials","","Sat Aug 16 22:05:03 IST 2025","passed","Sat Aug 16 22:05:16 IST 2025","","Login","",""
